brand,model,min_cost_price,max_cost_price,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,sale_state
Maruti,Alto,357003.861,465401.5444,9,120000,Petrol,0,19.7,796,46.3,5,120000,Gujarat
Hyundai,Grand,711000,748000,5,20000,Petrol,0,18.9,1197,82,5,550000,Maharashtra
Hyundai,i20,854082.8652,1307925.562,11,60000,Petrol,0,17,1197,80,5,215000,Madhya Pradesh
Maruti,Alto,357003.861,465401.5444,9,37000,Petrol,0,20.92,998,67.1,5,226000,Rajasthan
Ford,Ecosport,1014000,1379000,6,30000,Diesel,0,22.77,1498,98.59,5,570000,West Bengal
Maruti,Wagon R,516000,694000,8,35000,Petrol,0,18.9,998,67.1,5,350000,Karnataka
Hyundai,i10,654000,663000,8,40000,Petrol,0,20.36,1197,78.9,5,315000,Jammu and Kashmir
Maruti,Wagon R,526000,701000,3,17512,Petrol,0,20.51,998,67.04,5,410000,Tamil Nadu
Hyundai,Venue,770000,1302000,2,20000,Petrol,1,18.15,998,118.35,5,1050000,Uttar Pradesh
Maruti,Swift,635000,927000,4,28321,Petrol,0,16.6,1197,85,5,511000,Bihar
Hyundai,Verna,1309000,1829000,8,65278,Diesel,0,22.32,1582,126.32,5,425000,Kerala 
Renault,Duster,1143444.444,1690333.333,5,50000,Diesel,0,19.64,1461,108.45,5,750000,Punjab
Mini,Cooper,4238800,5239200,4,6000,Petrol,1,14.41,1998,189.08,5,3250000,Haryana
Maruti,Ciaz,978964.0288,1340179.856,5,76000,Diesel,0,28.09,1248,88.5,5,650000,Himachal Pradesh
Maruti,Swift,629140.5229,920202.6144,5,20000,Diesel,0,25.2,1248,74,5,627000,Sikkim
Mercedes-Benz,C-Class,5130000,6408000,7,65000,Diesel,1,19.27,2143,170,5,1425000,Goa
Maruti,Swift,629140.5229,920202.6144,7,62200,Diesel,0,28.4,1248,74,5,425000,Nagaland
Toyota,Innova,2017158.73,2955126.984,8,110000,Diesel,0,12.99,2494,100.6,8,605000,Andhra Pradesh
Maruti,Baleno,681000,1054000,6,20000,Petrol,0,21.4,1197,83.1,5,600000,Gujarat
Maruti,Swift Dzire,698000,1040000,5,40000,Petrol,0,20.85,1197,83.14,5,575000,Maharashtra
Volkswagen,Vento,1012000,1608000,8,47000,Petrol,0,16.09,1598,103.2,5,425000,Madhya Pradesh
Maruti,Alto,357003.861,465401.5444,8,25000,Petrol,0,20.92,998,67.1,5,230000,Rajasthan
Hyundai,Creta,1095000,1830000,2,15000,Diesel,0,19.67,1582,126.2,5,1225000,West Bengal
Honda,City,1236000,1657000,6,50000,Petrol,0,17.4,1497,117.3,5,750000,Karnataka
Mahindra,Bolero,905000,1069000,10,25000,Diesel,0,13.6,2523,63,7,350000,Jammu and Kashmir
Maruti,Swift Dzire,675762.0482,990132.5301,6,90000,Diesel,0,26.59,1248,74,5,600000,Maharashtra
Maruti,Swift Dzire,675762.0482,990132.5301,8,45000,Diesel,0,26.59,1248,74,5,390000,Madhya Pradesh
Honda,City,1268000,1680000,14,77253,Petrol,0,17.7,1497,78,5,145000,Bihar
Hyundai,i20,854082.8652,1307925.562,3,25000,Petrol,0,17.19,1197,81.86,5,700000,Kerala 
Toyota,Fortuner,3747000,4330000,8,110000,Diesel,0,13,2982,168.5,7,1150000,Punjab
Renault,KWID,381000,629000,4,30000,Petrol,0,23.01,999,67,5,340000,Haryana
Honda,Amaze,704000,990000,5,39993,Petrol,0,18.6,1199,88.76,5,465000,Himachal Pradesh
Hyundai,Santro,554219.5122,725658.5366,12,80000,Petrol,0,17.92,1086,62.1,5,125000,Sikkim
Mahindra,XUV500,1659000,2336000,9,185000,Diesel,0,15.1,2179,140,7,600000,Goa
Maruti,Swift Dzire,675762.0482,990132.5301,8,90000,Diesel,0,23.4,1248,74,5,380000,Nagaland
Hyundai,i20,854082.8652,1307925.562,3,15000,Diesel,0,22.54,1396,88.73,5,850000,Maharashtra
Hyundai,i20,763000,1266000,3,40000,Petrol,0,18.6,1197,81.83,5,598000,Madhya Pradesh
Honda,City,1268000,1680000,6,31180,Petrol,1,18,1497,117.3,5,700000,Maharashtra
Maruti,Swift Dzire,675762.0482,990132.5301,7,56000,Diesel,0,23.4,1248,74,5,410000,Madhya Pradesh
Maruti,Baleno,668000,1042000,5,52427,Petrol,1,21.4,1197,83.1,5,590000,Rajasthan
Mahindra,Bolero,893000,1047000,1,40000,Diesel,0,21,1498,74.96,7,850000,West Bengal
Mahindra,KUV100,688000,875000,3,17000,Petrol,0,18.15,1198,82,5,550000,Karnataka
Maruti,Baleno,681000,1054000,5,22000,Petrol,0,15.4,1590,94,5,625000,Jammu and Kashmir
Maruti,Swift Dzire,698000,1040000,5,54000,Petrol,0,20.85,1197,83.14,5,600000,Maharashtra
Maruti,Wagon R,511000,679000,2,10000,Petrol,0,20.51,998,67.04,5,445000,Madhya Pradesh
Maruti,Ignis,577000,856000,2,20000,Petrol,0,20.89,1197,81.8,5,530000,Bihar
Maruti,Wagon R,597000,604000,3,53237,CNG,0,26.6,998,58.16,5,410000,Kerala 
Datsun,RediGO,329000,550000,3,27263,Petrol,0,22.5,999,68,5,350000,Punjab
Hyundai,Verna,1284000,1809000,7,110000,Diesel,0,22.32,1582,126.3,5,520000,Haryana
Hyundai,i20,959000,1283000,5,70000,Diesel,0,22.54,1396,88.73,5,750000,Maharashtra
Maruti,Swift Dzire,675762.0482,990132.5301,4,70000,Diesel,0,26.59,1248,74,5,560000,Madhya Pradesh
Hyundai,i20,803000,1341000,2,39000,Petrol,0,18.6,1197,81.83,5,655000,Goa
Hyundai,Santro,554219.5122,725658.5366,14,56000,Petrol,0,17.8,1086,63,5,125000,Nagaland
Hyundai,i20,783000,1312000,3,34000,Petrol,0,18.6,1197,81.83,5,550000,Maharashtra
Mahindra,Scorpio,1510000,1992000,4,50000,Diesel,0,15.4,1997,120,7,1150000,Madhya Pradesh
Volkswagen,Vento,1042329.545,1616602.273,9,77400,Diesel,0,20.54,1598,103.6,5,500000,Maharashtra
Mahindra,Marazzo,1389000,1643000,2,36000,Diesel,0,17.3,1497,121,7,990000,Madhya Pradesh
Hyundai,Verna,1274000,1817000,8,47876,Diesel,0,25,1493,113.42,5,551000,Rajasthan
Mahindra,XUV500,1654000,2328000,3,21500,Diesel,1,15.1,2179,152.87,7,1650000,West Bengal
Hyundai,Grand,689359.8901,724879.1209,6,75000,Diesel,0,24,1120,70,5,350000,Karnataka
Ford,Aspire,685000,870000,4,58000,Petrol,0,18.16,1196,86.8,5,500000,Jammu and Kashmir
Maruti,Swift Dzire,685000,1026000,3,30000,Petrol,0,21.21,1197,81.8,5,575000,Maharashtra
Hyundai,Grand,689359.8901,724879.1209,3,50000,Diesel,0,24,1186,73.97,5,545000,Madhya Pradesh
Ford,Figo,602000,791000,4,19093,Petrol,0,18.16,1196,86.8,5,525000,Bihar
Honda,Amaze,702000,985000,7,50000,Petrol,0,18,1198,86.7,5,400000,Kerala 
Maruti,Wagon R,516000,694000,15,37000,Petrol,0,14,1061,64,5,155000,Punjab
Maruti,Swift Dzire,675762.0482,990132.5301,5,47000,Diesel,0,26.59,1248,74,5,545000,Haryana
Honda,City,1313000,1745000,8,70000,Petrol,0,16.8,1497,116.3,5,545000,Himachal Pradesh
Renault,KWID,362000,609000,5,25000,Petrol,0,25.17,799,53.3,5,240000,Sikkim
Maruti,Vitara,839666.6667,1323333.333,3,26000,Diesel,0,24.3,1248,88.5,5,725000,Goa
Ford,Aspire,685000,845000,4,30000,Petrol,0,18.16,1196,86.8,5,480000,Nagaland
Hyundai,i20,783000,1312000,8,15000,Petrol,0,18.5,1197,82.9,5,375000,Andhra Pradesh
Maruti,Swift,629140.5229,920202.6144,10,160000,Diesel,0,17.8,1248,75,5,225000,Gujarat
Tata,Tiago,563000,789000,4,32100,Petrol,0,23.84,1199,84,5,400000,Maharashtra
Hyundai,i20,803000,1341000,5,22000,Petrol,0,18.5,1197,82.9,5,550000,Madhya Pradesh
Mahindra,Scorpio,1506029.289,1955941.423,5,44000,Diesel,0,15.4,2179,120,7,1050000,Rajasthan
Volkswagen,Polo,694000,1119000,5,78000,Petrol,0,18.78,1198,74,5,450000,West Bengal
Mercedes-Benz,C-Class,476200000,16000000,9,74352,Petrol,1,11.74,1796,186,5,775000,Karnataka
Maruti,Wagon R,516000,694000,7,37000,Petrol,0,20.51,998,67.04,5,350000,Maharashtra
Honda,City,1479000,1755000,7,69000,Diesel,0,25.1,1498,98.6,5,550000,Madhya Pradesh
Kia,Seltos,1119000,1920000,2,12120,Petrol,0,16.8,1497,113.4,5,1080000,Madhya Pradesh
Maruti,Baleno,684580.9129,1054132.78,5,52000,Petrol,0,21.01,1197,81.8,5,575000,Bihar
Toyota,Innova,2017158.73,2955126.984,5,120000,Diesel,0,12.99,2494,100.6,8,950000,Kerala 
Maruti,Alto,347000,466000,8,55000,Petrol,0,22.74,796,47.3,5,230000,Maharashtra
